child,parent,child_pn,fastener,qty,loctite,torque
CE Meter Panel,,NXMA-0700064-0-0,,,,
CE Meter Panel Plate,CE Meter Panel,NXMP-0700172-0-0,,1,,
CE 3 Way Valve Bracket,CE Meter Panel Plate,NXMP-0700160-0-0,CBSTBR4-8,1,,
3 Port Valve,CE 3 Way Valve Bracket,T-10,,1,,
R3/8 to 12mm Elbow (bracket),CE 3 Way Valve Bracket,PL12-03,,2,,
R3/8 to 8mm Elbow,CE 3 Way Valve Bracket,PL8-03,,1,,
CE Ball Valve Bracket,CE Meter Panel Plate,NXMP-0700166-0-0,CBSTBR4-8,1,,
Ball Valve,CE Ball Valve Bracket,FF-08C,,1,,
R1/4 to 12mm Elbow,CE Ball Valve Bracket,PL12-02,,1,,
R1/4 to 8mm Elbow,CE Ball Valve Bracket,PL8-02,,1,,
Pressure Gauge,CE Meter Panel Plate,G46-15-02-C,,2,,
6mm to Rc1/4 Elbow,Pressure Gauge,PLF6-02,,2,,
Pressure Sensor,CE Meter Panel Plate,ISE20A-R-M-M5-JB,,1,,
6mm Branch to M5,Pressure Sensor,PB6-M5,,1,,
8mm T-Fitting,CE Meter Panel,PE8,,1,,
6mm Elbow,CE Meter Panel,PLJ6,,1,,
6mm Tubing,CE Meter Panel,TU0604BU-20,,4,,
12mm Air Tube PU,CE Meter Panel,TU1208BU-20,,3,,
8mm Tubing,CE Meter Panel,TU0805BU-20,,3,,
Label,CE Meter Panel,,,5,,
